r	c	alpha	beta	Q_E_bar	Q_E	Pi_E	Time_E	CPUTime_E	Comp_E
2	0.9	5	0.125	64	44	139.2948411	9076274	45560390	218300
2	0.8	5	0.125	66	46	156.2441081	5301122	28376320	210961
2	0.7	5	0.125	67	49	173.7431487	5465922	27432990	190827
2	0.6	5	0.125	69	51	191.8299263	6108495	31141140	177179
2	0.5	5	0.125	70	54	210.5321465	2780772	14492300	159380
2	0.4	5	0.125	72	57	229.9261267	4753172	24854850	140653
2	0.3	5	0.125	75	61	250.1301324	490054	5869660	127243
2	0.2	5	0.125	78	67	271.3397327	741546	8854990	107470
2	1.8	2.5	0.0625	55	18	11.02336738	8996201	107274150	726990
2	1.7	2.5	0.0625	61	22	20.33597042	10179891	121383070	823480
2	1.6	2.5	0.0625	66	26	31.11641907	10938930	130422920	882130
2	1.5	2.5	0.0625	70	29	43.05723365	11322851	134926550	909455
2	1.4	2.5	0.0625	73	32	55.96719795	11373001	135433760	912158
2	1.3	2.5	0.0625	76	35	69.71273926	11529447	137413320	926162
2	1.2	2.5	0.0625	78	37	84.22180555	11232195	133680820	901931
2	1.1	2.5	0.0625	81	40	99.4268013	11023880	131218230	888164
2	1	2.5	0.0625	83	43	115.2911651	10547459	125461200	857435
2	0.9	2.5	0.0625	85	45	131.8043199	10017723	119254680	822908
2	0.8	2.5	0.0625	87	48	148.9568324	9431869	112360110	785234
2	0.7	2.5	0.0625	89	52	166.7566223	8614492	102610980	729299
2	0.6	2.5	0.0625	91	55	185.246223	7770757	92488850	672057
2	0.5	2.5	0.0625	94	59	204.469518	7016716	83619810	625153
2	0.4	2.5	0.0625	96	64	224.5097761	5769415	68753380	536069
2	0.3	2.5	0.0625	100	70	245.5133834	4653593	55368520	456551
2	0.2	2.5	0.0625	104	78	267.7320572	3477373	41420250	364139
2	1.8	100	2	43	40	28.72792773	83549	320400	13638
2	1.7	100	2	44	41	44.9678962	71919	278540	12678
2	1.6	100	2	46	43	61.90467282	70730	273260	12507
2	1.5	100	2	47	44	79.40109787	69495	268310	12749
2	1.4	100	2	48	46	97.41839035	71524	276660	12578
2	1.3	100	2	49	47	115.8855711	101247	390190	12802
2	1.2	100	2	50	48	134.7958011	76011	293410	12702
2	1.1	100	2	51	49	154.1207438	65959	253420	11562
2	1	100	2	51	50	173.8542874	53009	205490	10907
2	0.9	100	2	52	51	193.9902682	63620	244930	10882
2	0.8	100	2	53	52	214.5449179	52827	205080	10885
2	0.7	100	2	54	53	235.5194399	66398	255670	10873
2	0.6	100	2	55	54	256.9348796	55852	214020	11031
2	0.5	100	2	57	56	278.8461124	65946	254300	11008
2	0.4	100	2	58	57	301.2799039	67356	259800	11148
2	0.3	100	2	60	59	324.326211	56706	220530	11271
2	0.2	100	2	62	61	348.1162657	57318	218290	11422
2	1.8	50	1	44	38	27.58372707	184488	711510	26539
2	1.7	50	1	46	41	43.51409182	183834	710130	26367
